account_number,customer_id,account_type,status,balance_naira,opened_on,home_branch
9922900442,CUS-0035,Current,active,80000,2020-12-15,ENTIN Wuse
9926978043,CUS-0036,Savings,active,1467000,2020-06-15,ENTIN Yaba
9980700159,CUS-0037,Savings,active,1089600,2025-12-15,ENTIN Yaba
9928667534,CUS-0038,Savings,active,314000,2019-09-15,ENTIN Yaba
9960824456,CUS-0039,Savings,dormant,158300,2020-08-15,ENTIN Lekki
9954177588,CUS-0040,Savings,active,603500,2013-05-15,ENTIN Enugu
9902520161,CUS-0041,Savings,active,1491200,2025-05-15,ENTIN Kaduna
9938560739,CUS-0042,Savings,active,2588700,2015-02-15,ENTIN Garki
9985469059,CUS-0043,Savings,active,500500,2014-09-15,ENTIN Kano
9933042845,CUS-0044,Savings,active,983100,2014-01-15,ENTIN Lekki
9921430490,CUS-0045,Savings,active,3638500,2016-02-15,ENTIN Surulere
9968179223,CUS-0046,Savings,active,941200,2015-09-15,ENTIN Port Harcourt
9956427105,CUS-0046,Current,active,35000,2024-03-15,ENTIN Port Harcourt
9969585190,CUS-0047,Savings,active,148500,2015-02-15,ENTIN Ikeja
9972987112,CUS-0048,Savings,dormant,3122200,2020-05-15,ENTIN Benin City
9926407942,CUS-0048,Current,active,150000,2022-01-15,ENTIN Benin City
9996745219,CUS-0049,Savings,active,1995500,2015-04-15,ENTIN Ibadan
9988645732,CUS-0050,Savings,active,341400,2012-12-15,ENTIN Kano
9985846388,CUS-0051,Savings,active,2634600,2022-10-15,ENTIN Ikeja
9965013327,CUS-0052,Savings,active,2436900,2019-03-15,ENTIN Garki
9916354011,CUS-0053,Savings,active,2647000,2022-03-15,ENTIN Lekki
9918621076,CUS-0054,Savings,active,374100,2013-08-15,ENTIN Garki
9915202994,CUS-0055,Savings,active,1067000,2024-07-15,ENTIN Lekki
9998286408,CUS-0056,Savings,active,1129000,2020-08-15,ENTIN Enugu
9939955156,CUS-0057,Savings,active,1001000,2021-08-15,ENTIN Wuse
9996156795,CUS-0057,Current,active,900000,2017-01-15,ENTIN Wuse
9980156464,CUS-0058,Savings,active,810800,2023-05-15,ENTIN Enugu
9990421631,CUS-0059,Savings,active,1390000,2013-02-15,ENTIN Ibadan
9906424829,CUS-0060,Savings,active,2510100,2012-02-15,ENTIN Garki
9923524013,CUS-0061,Savings,active,2653000,2013-06-15,ENTIN Surulere
9913785222,CUS-0062,Savings,active,1486200,2016-11-15,ENTIN Lekki
9948085347,CUS-0063,Savings,active,265700,2012-05-15,ENTIN Lekki
9901461338,CUS-0064,Savings,dormant,503000,2017-04-15,ENTIN Port Harcourt
9977605538,CUS-0065,Savings,active,1198200,2020-11-15,ENTIN Surulere
9915141363,CUS-0066,Savings,active,2773700,2016-04-15,ENTIN Ikeja
9964668631,CUS-0067,Savings,active,1066000,2025-06-15,ENTIN Surulere
9934217233,CUS-0068,Savings,active,642500,2021-07-15,ENTIN Benin City
9977044104,CUS-0068,Current,active,35000,2024-08-15,ENTIN Benin City
9935953494,CUS-0069,Savings,dormant,2036200,2016-03-15,ENTIN Wuse
9980801000,CUS-0070,Savings,active,997000,2022-03-15,ENTIN Ikeja
9903048877,CUS-0071,Savings,active,409500,2023-02-15,ENTIN Ibadan
9904030042,CUS-0072,Savings,active,2774000,2024-08-15,ENTIN Yaba
9929770579,CUS-0073,Savings,active,1174700,2021-12-15,ENTIN Yaba
9981299914,CUS-0074,Savings,active,202500,2012-11-15,ENTIN Kaduna
9967554850,CUS-0074,Current,active,150000,2015-06-15,ENTIN Kaduna
9926436628,CUS-0075,Savings,active,194000,2021-01-15,ENTIN Benin City
9970950601,CUS-0076,Savings,active,31500,2020-10-15,ENTIN Wuse
9956378276,CUS-0077,Savings,active,427500,2022-09-15,ENTIN Benin City
9938696953,CUS-0078,Savings,active,2683700,2014-08-15,ENTIN Port Harcourt
9971711243,CUS-0079,Savings,active,972000,2017-02-15,ENTIN Benin City
9903022502,CUS-0080,Savings,active,130100,2025-03-15,ENTIN Lekki
9908238613,CUS-0081,Savings,active,2834500,2014-12-15,ENTIN Lekki
9912223863,CUS-0081,Current,active,80000,2024-09-15,ENTIN Lekki
9942764129,CUS-0082,Savings,active,724000,2025-11-15,ENTIN Port Harcourt
9950496570,CUS-0083,Savings,active,170500,2012-06-15,ENTIN Enugu
9996444694,CUS-0084,Savings,active,314700,2012-04-15,ENTIN Kano
9972056832,CUS-0084,Current,active,150000,2018-11-15,ENTIN Kano
9920987695,CUS-0085,Savings,active,754700,2023-10-15,ENTIN Yaba
9907016929,CUS-0086,Savings,active,207500,2016-03-15,ENTIN Ikeja
9967779214,CUS-0087,Savings,active,1311200,2017-04-15,ENTIN Port Harcourt
9912668692,CUS-0088,Savings,active,96500,2014-08-15,ENTIN Enugu
9995292074,CUS-0089,Savings,active,1201300,2018-06-15,ENTIN Kaduna
9945011459,CUS-0090,Savings,active,358700,2016-07-15,ENTIN Garki
9981013315,CUS-0091,Savings,active,1114000,2016-11-15,ENTIN Wuse
9995444615,CUS-0092,Savings,active,1593200,2017-08-15,ENTIN Port Harcourt
9953921025,CUS-0092,Current,active,900000,2025-12-15,ENTIN Port Harcourt
9969795168,CUS-0093,Savings,active,2733500,2016-03-15,ENTIN Wuse
9962528456,CUS-0094,Savings,active,40200,2020-07-15,ENTIN Benin City
9966981433,CUS-0095,Savings,active,508200,2021-02-15,ENTIN Garki
9991804418,CUS-0096,Savings,active,430000,2013-04-15,ENTIN Kaduna
9961807567,CUS-0097,Savings,active,2525700,2019-03-15,ENTIN Enugu
9958025797,CUS-0098,Savings,active,1047800,2025-08-15,ENTIN Kano
9968878499,CUS-0098,Current,active,150000,2018-11-15,ENTIN Kano
9936708878,CUS-0099,Savings,active,2712800,2013-07-15,ENTIN Benin City
9919172290,CUS-0100,Savings,active,2434700,2017-08-15,ENTIN Port Harcourt
9950580777,CUS-0100,Current,active,2500000,2024-06-15,ENTIN Port Harcourt
9971745143,CUS-0101,Savings,active,2531500,2013-02-15,ENTIN Enugu
9912452877,CUS-0102,Savings,active,226000,2014-12-15,ENTIN Ibadan
9974404309,CUS-0102,Current,active,35000,2016-03-15,ENTIN Ibadan
9949574415,CUS-0103,Savings,active,616000,2018-07-15,ENTIN Kano
9927125204,CUS-0103,Current,active,2500000,2018-06-15,ENTIN Kano
9910528659,CUS-0104,Savings,active,724200,2012-06-15,ENTIN Benin City
9972234888,CUS-0105,Savings,active,520600,2012-03-15,ENTIN Wuse
9959061922,CUS-0106,Savings,active,127000,2017-06-15,ENTIN Surulere
9935483447,CUS-0106,Current,active,400000,2022-06-15,ENTIN Surulere
9961387303,CUS-0107,Savings,active,388100,2014-07-15,ENTIN Lekki
9976125398,CUS-0108,Savings,active,80500,2023-03-15,ENTIN Kaduna
9926445274,CUS-0109,Savings,active,429500,2018-11-15,ENTIN Ikeja
9951521657,CUS-0110,Savings,active,2585300,2023-06-15,ENTIN Port Harcourt
9926058188,CUS-0110,Current,active,400000,2020-10-15,ENTIN Port Harcourt
9960169676,CUS-0111,Savings,active,423600,2016-08-15,ENTIN Lekki
9942365966,CUS-0112,Savings,active,474500,2018-11-15,ENTIN Benin City
9983754741,CUS-0112,Current,active,150000,2016-08-15,ENTIN Benin City
9918118331,CUS-0113,Savings,active,2062500,2014-01-15,ENTIN Kaduna
9944317367,CUS-0114,Savings,active,267000,2024-03-15,ENTIN Kano
9926627973,CUS-0115,Savings,active,1519200,2022-07-15,ENTIN Ikeja
9966971697,CUS-0115,Current,active,80000,2013-07-15,ENTIN Ikeja
9962245900,CUS-0116,Savings,active,1574300,2013-09-15,ENTIN Ibadan
9925219607,CUS-0117,Savings,active,540200,2015-09-15,ENTIN Surulere
9975049979,CUS-0118,Savings,active,440600,2014-11-15,ENTIN Ibadan
9954928452,CUS-0119,Savings,active,522600,2022-06-15,ENTIN Ibadan
9939956816,CUS-0120,Savings,active,1293900,2013-01-15,ENTIN Ibadan
9910108102,CUS-0121,Savings,active,963300,2014-01-15,ENTIN Ikeja
9920453316,CUS-0122,Savings,active,2635700,2020-02-15,ENTIN Ibadan
9961205593,CUS-0123,Savings,active,260200,2020-03-15,ENTIN Yaba
9949138114,CUS-0124,Savings,active,257000,2023-07-15,ENTIN Yaba
9939285100,CUS-0125,Savings,active,989000,2016-12-15,ENTIN Yaba
9983579996,CUS-0126,Savings,active,1089000,2021-12-15,ENTIN Ibadan
9953095521,CUS-0126,Current,active,2500000,2013-02-15,ENTIN Ibadan
9911211684,CUS-0127,Savings,active,516500,2017-09-15,ENTIN Port Harcourt
9943949119,CUS-0128,Savings,dormant,322000,2012-02-15,ENTIN Ikeja
9901919652,CUS-0129,Savings,active,205500,2015-11-15,ENTIN Ikeja
9970533656,CUS-0130,Savings,active,493000,2022-12-15,ENTIN Wuse
9915379101,CUS-0131,Savings,active,618300,2019-02-15,ENTIN Ikeja
9913900264,CUS-0132,Savings,active,2555600,2012-11-15,ENTIN Enugu
9965679951,CUS-0133,Savings,active,185000,2016-07-15,ENTIN Lekki
9983034549,CUS-0134,Savings,active,979200,2014-10-15,ENTIN Garki
9975077739,CUS-0134,Current,active,80000,2024-01-15,ENTIN Garki
9907512280,CUS-0135,Savings,active,806000,2017-07-15,ENTIN Lekki
9972130516,CUS-0136,Savings,active,411000,2022-02-15,ENTIN Port Harcourt
9965386482,CUS-0137,Savings,active,154000,2018-09-15,ENTIN Surulere
9902372961,CUS-0138,Savings,active,943700,2019-09-15,ENTIN Kaduna
9928539598,CUS-0139,Savings,active,3214200,2015-12-15,ENTIN Wuse
9975216214,CUS-0140,Savings,active,1087500,2023-07-15,ENTIN Ibadan
9913439999,CUS-0140,Current,active,80000,2021-07-15,ENTIN Ibadan
9922386162,CUS-0141,Savings,active,101100,2021-07-15,ENTIN Garki
9986367800,CUS-0142,Savings,active,1001500,2013-08-15,ENTIN Benin City
9964197110,CUS-0143,Savings,dormant,1453200,2023-03-15,ENTIN Kano
9949007514,CUS-0143,Current,active,80000,2014-10-15,ENTIN Kano
9986071964,CUS-0144,Savings,active,371600,2025-09-15,ENTIN Ikeja
9912117405,CUS-0145,Savings,active,1114700,2017-09-15,ENTIN Surulere
9915789794,CUS-0146,Savings,active,310500,2024-05-15,ENTIN Kaduna
9902671868,CUS-0146,Current,active,80000,2013-11-15,ENTIN Kaduna
9900546598,CUS-0147,Savings,active,1576200,2017-09-15,ENTIN Enugu
9929634769,CUS-0148,Savings,active,394200,2012-05-15,ENTIN Yaba
9932706983,CUS-0149,Savings,active,280500,2013-10-15,ENTIN Kano
9986703642,CUS-0150,Savings,active,1588700,2012-06-15,ENTIN Enugu
9923911317,CUS-0151,Savings,active,959500,2024-10-15,ENTIN Surulere
9950934230,CUS-0152,Savings,active,723000,2017-05-15,ENTIN Surulere
9979262701,CUS-0153,Savings,active,400500,2019-12-15,ENTIN Lekki
9973621841,CUS-0154,Savings,active,483000,2017-06-15,ENTIN Garki
9924565054,CUS-0155,Savings,active,455600,2016-05-15,ENTIN Yaba
9944565338,CUS-0156,Savings,active,1478000,2015-11-15,ENTIN Yaba
9984980730,CUS-0157,Savings,active,1960700,2018-11-15,ENTIN Lekki
9952390359,CUS-0157,Current,dormant,2500000,2020-06-15,ENTIN Lekki
9916441320,CUS-0158,Savings,active,1540600,2017-11-15,ENTIN Enugu
9941946065,CUS-0159,Savings,active,1167600,2018-09-15,ENTIN Lekki
9917353161,CUS-0159,Current,active,2500000,2017-10-15,ENTIN Lekki
9945997181,CUS-0160,Savings,active,401500,2019-04-15,ENTIN Lekki
9950062013,CUS-0161,Savings,active,2396000,2025-02-15,ENTIN Wuse
9936876480,CUS-0162,Savings,active,731900,2018-12-15,ENTIN Kaduna
9985476677,CUS-0163,Savings,active,173500,2015-05-15,ENTIN Lekki
9963544644,CUS-0164,Savings,active,945900,2015-04-15,ENTIN Kaduna
9957207101,CUS-0165,Savings,active,1220000,2015-07-15,ENTIN Lekki
9936354926,CUS-0166,Savings,active,1210000,2020-09-15,ENTIN Enugu
9922102298,CUS-0167,Savings,active,953000,2024-09-15,ENTIN Ibadan
9989354914,CUS-0168,Savings,active,2708700,2017-03-15,ENTIN Yaba
9984249158,CUS-0169,Savings,active,555200,2020-12-15,ENTIN Wuse
9942564933,CUS-0170,Savings,active,514100,2016-06-15,ENTIN Lekki
9983851534,CUS-0171,Savings,active,884800,2022-03-15,ENTIN Yaba
9933836620,CUS-0172,Savings,active,797900,2014-10-15,ENTIN Enugu
9937785973,CUS-0173,Savings,active,850000,2014-12-15,ENTIN Ikeja
9904061872,CUS-0174,Savings,active,3705300,2016-01-15,ENTIN Port Harcourt
9903136249,CUS-0175,Savings,active,401500,2015-03-15,ENTIN Kano
9979603085,CUS-0175,Current,active,2500000,2025-04-15,ENTIN Kano
9948340783,CUS-0176,Savings,active,259000,2024-03-15,ENTIN Kaduna
9940024094,CUS-0177,Savings,active,506700,2012-12-15,ENTIN Wuse
9914176590,CUS-0178,Savings,active,439400,2016-05-15,ENTIN Ikeja
9994255269,CUS-0178,Current,active,400000,2013-07-15,ENTIN Ikeja
9929958470,CUS-0179,Savings,active,186000,2024-07-15,ENTIN Yaba
9927751519,CUS-0180,Savings,active,3648500,2019-12-15,ENTIN Port Harcourt
9983508472,CUS-0181,Savings,active,229300,2020-08-15,ENTIN Benin City
9979765655,CUS-0182,Savings,active,525000,2023-03-15,ENTIN Yaba
9902993351,CUS-0183,Savings,active,2380500,2018-09-15,ENTIN Ibadan
9912799315,CUS-0184,Savings,active,1457100,2024-02-15,ENTIN Benin City
9962334551,CUS-0185,Savings,active,37100,2022-08-15,ENTIN Benin City
9978728285,CUS-0186,Savings,active,2511500,2014-04-15,ENTIN Ibadan
9956885470,CUS-0187,Savings,active,2627600,2019-08-15,ENTIN Surulere
9925691517,CUS-0188,Savings,active,1594900,2012-12-15,ENTIN Wuse
9908672820,CUS-0189,Savings,active,269700,2014-09-15,ENTIN Benin City
9967378530,CUS-0190,Savings,active,2024700,2014-08-15,ENTIN Wuse
9904355683,CUS-0191,Savings,active,90200,2014-01-15,ENTIN Ikeja
9988642115,CUS-0192,Savings,active,1114400,2018-04-15,ENTIN Surulere
9961766752,CUS-0193,Savings,active,273000,2023-06-15,ENTIN Ikeja
9990617641,CUS-0193,Current,active,35000,2017-08-15,ENTIN Ikeja
9953387952,CUS-0194,Savings,active,217500,2025-01-15,ENTIN Benin City
9911125736,CUS-0195,Savings,dormant,2433700,2023-04-15,ENTIN Garki
9967074401,CUS-0196,Savings,active,245000,2020-06-15,ENTIN Surulere
9999876763,CUS-0197,Savings,active,1055500,2018-01-15,ENTIN Enugu
9908529541,CUS-0198,Savings,active,259200,2023-06-15,ENTIN Garki
9916644726,CUS-0199,Savings,active,767000,2015-10-15,ENTIN Enugu
9940608041,CUS-0199,Current,active,150000,2021-04-15,ENTIN Enugu
9967769593,CUS-0200,Savings,active,2632500,2022-06-15,ENTIN Enugu
9915856052,CUS-0201,Savings,active,1321000,2017-03-15,ENTIN Garki
9914950549,CUS-0202,Savings,active,2454500,2012-04-15,ENTIN Wuse
9911235217,CUS-0203,Savings,active,34500,2025-07-15,ENTIN Enugu
9937567822,CUS-0204,Savings,active,498600,2023-08-15,ENTIN Port Harcourt
9904236164,CUS-0205,Savings,active,290700,2024-08-15,ENTIN Surulere
9960946297,CUS-0206,Savings,active,1078500,2020-11-15,ENTIN Ibadan
9954079211,CUS-0207,Savings,active,386700,2023-06-15,ENTIN Ibadan
9908562995,CUS-0208,Savings,active,2795700,2024-12-15,ENTIN Surulere
9902119749,CUS-0208,Current,active,2500000,2025-11-15,ENTIN Surulere
9986925245,CUS-0209,Savings,active,631000,2014-02-15,ENTIN Ikeja
9911316159,CUS-0210,Savings,active,2098200,2021-10-15,ENTIN Benin City
9981386941,CUS-0210,Current,active,35000,2016-01-15,ENTIN Benin City
9909502592,CUS-0211,Savings,active,245200,2025-11-15,ENTIN Garki
9951055574,CUS-0212,Savings,active,138500,2023-04-15,ENTIN Garki
9943848714,CUS-0213,Savings,active,736500,2019-07-15,ENTIN Garki
9980024371,CUS-0214,Savings,active,962500,2025-11-15,ENTIN Yaba
9948992789,CUS-0215,Savings,active,186700,2025-02-15,ENTIN Wuse
9903471072,CUS-0216,Savings,active,2811000,2012-02-15,ENTIN Ibadan
9923754061,CUS-0217,Savings,active,888200,2020-07-15,ENTIN Lekki
9910818187,CUS-0218,Savings,active,1174500,2014-03-15,ENTIN Garki
9965434139,CUS-0218,Current,active,150000,2018-06-15,ENTIN Garki
9930963627,CUS-0219,Savings,active,489700,2019-01-15,ENTIN Lekki
9986070448,CUS-0220,Savings,active,345100,2023-05-15,ENTIN Garki
9995401710,CUS-0221,Savings,active,730200,2017-12-15,ENTIN Kaduna
9943397743,CUS-0222,Savings,active,1165700,2020-09-15,ENTIN Garki
9973866346,CUS-0223,Savings,active,483200,2012-02-15,ENTIN Ibadan
9988671900,CUS-0223,Current,active,35000,2018-08-15,ENTIN Ibadan
9958085404,CUS-0224,Savings,active,2561000,2017-01-15,ENTIN Benin City
9991444480,CUS-0224,Current,active,80000,2012-12-15,ENTIN Benin City
9910257598,CUS-0225,Savings,active,995500,2022-12-15,ENTIN Port Harcourt
9909301930,CUS-0226,Savings,active,378800,2019-11-15,ENTIN Lekki
9986617876,CUS-0227,Savings,active,2682000,2017-11-15,ENTIN Enugu
9954375149,CUS-0228,Savings,active,573000,2017-09-15,ENTIN Benin City
9993322503,CUS-0229,Savings,active,554000,2019-01-15,ENTIN Enugu
9946252003,CUS-0230,Savings,active,198000,2013-05-15,ENTIN Kano
9987407604,CUS-0231,Savings,active,212700,2025-01-15,ENTIN Ibadan
9902084385,CUS-0232,Savings,active,1085500,2025-11-15,ENTIN Port Harcourt
9907462096,CUS-0233,Savings,active,1250000,2015-09-15,ENTIN Lekki
9902167309,CUS-0234,Savings,active,3612500,2021-09-15,ENTIN Port Harcourt
9953911045,CUS-0235,Savings,active,572500,2017-07-15,ENTIN Benin City
9941663809,CUS-0236,Savings,active,1119400,2021-02-15,ENTIN Ibadan
9969336506,CUS-0237,Savings,active,497400,2015-03-15,ENTIN Ibadan
9937467651,CUS-0238,Savings,active,182900,2016-03-15,ENTIN Lekki
9963646907,CUS-0239,Savings,active,432500,2020-08-15,ENTIN Benin City
9926272745,CUS-0240,Savings,active,614400,2012-05-15,ENTIN Kaduna
9985550964,CUS-0240,Current,active,80000,2021-10-15,ENTIN Kaduna
9968320519,CUS-0241,Savings,active,441200,2017-03-15,ENTIN Yaba
9922045362,CUS-0241,Current,dormant,2500000,2015-01-15,ENTIN Yaba
9902208747,CUS-0242,Savings,active,3599100,2013-10-15,ENTIN Wuse
9951135288,CUS-0243,Savings,active,270000,2024-02-15,ENTIN Garki
9989064373,CUS-0243,Current,active,400000,2018-11-15,ENTIN Garki
9931572552,CUS-0244,Savings,active,201600,2022-09-15,ENTIN Benin City
9974242558,CUS-0245,Savings,active,3642700,2015-11-15,ENTIN Surulere
9985384634,CUS-0246,Savings,active,2561800,2020-09-15,ENTIN Port Harcourt
9956338649,CUS-0247,Savings,dormant,195700,2012-11-15,ENTIN Kano
9955864605,CUS-0248,Savings,active,565000,2022-02-15,ENTIN Yaba
9911871482,CUS-0249,Savings,active,193000,2018-07-15,ENTIN Enugu
9922213933,CUS-0250,Savings,active,525500,2023-03-15,ENTIN Ibadan
9972251933,CUS-0251,Savings,active,126000,2025-05-15,ENTIN Yaba
9937906660,CUS-0252,Savings,active,1481800,2017-07-15,ENTIN Ikeja
9919879915,CUS-0253,Savings,active,291400,2021-10-15,ENTIN Kano
9910485144,CUS-0254,Savings,active,2028700,2018-12-15,ENTIN Enugu
9927357934,CUS-0255,Savings,active,1152300,2016-11-15,ENTIN Wuse
9912443952,CUS-0256,Savings,active,1902000,2013-12-15,ENTIN Yaba
9927951365,CUS-0256,Current,active,150000,2022-01-15,ENTIN Yaba
9903889054,CUS-0257,Savings,active,1121700,2013-11-15,ENTIN Ibadan
9911119929,CUS-0258,Savings,active,1596700,2024-01-15,ENTIN Kaduna
9978482991,CUS-0259,Savings,active,304000,2019-08-15,ENTIN Surulere
9952562853,CUS-0260,Savings,active,187900,2025-08-15,ENTIN Yaba
9911168312,CUS-0261,Savings,active,871700,2014-12-15,ENTIN Lekki
9969055121,CUS-0262,Savings,active,424500,2014-08-15,ENTIN Wuse
9950345134,CUS-0263,Savings,active,179500,2015-11-15,ENTIN Enugu
9910453125,CUS-0264,Savings,active,137000,2020-08-15,ENTIN Wuse
9913982658,CUS-0265,Savings,active,336700,2012-07-15,ENTIN Lekki
9911157896,CUS-0266,Savings,active,1142500,2019-04-15,ENTIN Ikeja
9975140396,CUS-0267,Savings,active,170500,2014-04-15,ENTIN Surulere
9995728062,CUS-0268,Savings,dormant,1002200,2015-03-15,ENTIN Garki
9936756441,CUS-0269,Savings,active,3160000,2019-01-15,ENTIN Ibadan
9932642118,CUS-0270,Savings,active,1236000,2022-06-15,ENTIN Wuse
9915845459,CUS-0271,Savings,active,441500,2018-04-15,ENTIN Enugu
9940071152,CUS-0272,Savings,active,557700,2016-07-15,ENTIN Lekki
9935986265,CUS-0273,Savings,active,397500,2014-05-15,ENTIN Benin City
9955297955,CUS-0274,Savings,active,235200,2015-03-15,ENTIN Port Harcourt
9916289439,CUS-0275,Savings,active,337000,2014-06-15,ENTIN Garki
9927352061,CUS-0275,Current,active,80000,2020-10-15,ENTIN Garki
9997590170,CUS-0276,Savings,active,74500,2014-01-15,ENTIN Port Harcourt
9900602652,CUS-0277,Savings,active,962500,2021-11-15,ENTIN Benin City
9932946850,CUS-0278,Savings,active,1311200,2017-07-15,ENTIN Kaduna
9955326148,CUS-0279,Savings,active,465000,2016-01-15,ENTIN Yaba
9952498676,CUS-0280,Savings,active,1163300,2013-04-15,ENTIN Enugu
9984118790,CUS-0281,Savings,active,297100,2025-05-15,ENTIN Ikeja
9946306844,CUS-0282,Savings,active,2060300,2012-04-15,ENTIN Lekki
9992725775,CUS-0283,Savings,active,369400,2021-05-15,ENTIN Ibadan
9938402490,CUS-0283,Current,active,400000,2022-02-15,ENTIN Ibadan
9966833571,CUS-0284,Savings,active,1252100,2019-10-15,ENTIN Garki
9943032214,CUS-0285,Savings,active,1990700,2024-12-15,ENTIN Yaba
9930154650,CUS-0285,Current,active,80000,2017-06-15,ENTIN Yaba
9930900140,CUS-0286,Savings,active,2522000,2022-05-15,ENTIN Kaduna
9945991169,CUS-0286,Current,active,900000,2024-10-15,ENTIN Kaduna
9969449775,CUS-0287,Savings,active,294500,2012-11-15,ENTIN Port Harcourt
9972097656,CUS-0288,Savings,active,3082500,2018-11-15,ENTIN Wuse
9944712177,CUS-0289,Savings,active,2035500,2018-04-15,ENTIN Garki
9927406438,CUS-0290,Savings,active,1011600,2018-11-15,ENTIN Port Harcourt
9968894472,CUS-0290,Current,active,400000,2012-02-15,ENTIN Port Harcourt
9978065578,CUS-0291,Savings,active,391700,2016-11-15,ENTIN Ikeja
9969206472,CUS-0292,Savings,active,803100,2020-02-15,ENTIN Ikeja
9928185458,CUS-0293,Savings,active,595600,2025-02-15,ENTIN Kaduna
9981044386,CUS-0294,Savings,active,2444000,2021-08-15,ENTIN Ibadan
9991259758,CUS-0295,Savings,active,769500,2020-11-15,ENTIN Ibadan
9904810740,CUS-0296,Savings,active,73000,2018-12-15,ENTIN Kano
9929017205,CUS-0297,Savings,active,1057000,2019-09-15,ENTIN Kaduna
9994675331,CUS-0298,Savings,active,1689000,2024-01-15,ENTIN Ikeja
9903987204,CUS-0299,Savings,active,215200,2012-02-15,ENTIN Enugu
9986118151,CUS-0300,Savings,active,494500,2021-01-15,ENTIN Garki
9969065643,CUS-0301,Savings,active,194000,2016-04-15,ENTIN Garki
9916038871,CUS-0302,Savings,active,996000,2023-06-15,ENTIN Ibadan
9914192446,CUS-0303,Savings,active,2854700,2024-03-15,ENTIN Port Harcourt
9919484159,CUS-0304,Savings,active,1058500,2020-09-15,ENTIN Benin City
9912573853,CUS-0305,Savings,active,187200,2018-02-15,ENTIN Garki
9912755790,CUS-0306,Savings,active,350000,2023-10-15,ENTIN Kaduna
9938909584,CUS-0307,Savings,active,2992000,2012-07-15,ENTIN Benin City
9937456111,CUS-0308,Savings,active,977700,2021-11-15,ENTIN Ibadan
9907735405,CUS-0309,Savings,active,1531800,2020-07-15,ENTIN Port Harcourt
9928648156,CUS-0310,Savings,active,76700,2015-03-15,ENTIN Garki
9977866026,CUS-0311,Savings,active,331100,2018-12-15,ENTIN Kaduna
9975337207,CUS-0312,Savings,active,1205600,2012-03-15,ENTIN Wuse
9956414349,CUS-0312,Current,active,80000,2018-10-15,ENTIN Wuse
9946277869,CUS-0313,Savings,active,2324500,2025-07-15,ENTIN Kano
9961768644,CUS-0313,Current,active,35000,2022-10-15,ENTIN Kano
