txn_id,customer_id,account_number,date_time,channel,direction,amount_naira,counterparty,counterparty_bank,narration,status,debited,beneficiary_credited,on_us,reversal_status,reversal_due,reversal_completed_at,reference,balance_after
TXN-004054,CUS-0329,9953759147,2026-07-24 13:29,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT603123533466,79500
TXN-002879,CUS-0233,9907462096,2026-07-24 13:48,POS,debit,12500,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT652053935416,67500
TXN-002401,CUS-0195,9911125736,2026-07-24 14:10,TRANSFER,debit,100000,Grace F*****a,Placeholder Bank,Transfer,successful,yes,yes,,,,,ENT501017721300,2400000
TXN-000337,CUS-0028,9955696327,2026-07-24 14:16,TRANSFER,debit,35000,Maryam I***s,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT376735730890,115000
TXN-005865,CUS-0475,9942169114,2026-07-24 14:23,POS,debit,3500,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT145629551715,146500
TXN-003042,CUS-0245,9974242558,2026-07-24 15:01,TRANSFER,debit,5000,Segun F*****a,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT322118945248,2495000
TXN-000881,CUS-0073,9929770579,2026-07-24 15:21,TRANSFER,debit,10000,Kemi D*****a,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT736643020323,890000
TXN-001967,CUS-0161,9950062013,2026-07-24 15:42,ATM,debit,40000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT595223465387,2460000
TXN-003969,CUS-0322,9949912955,2026-07-24 16:08,POS,debit,7800,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT588223568582,2492200
TXN-003591,CUS-0290,9927406438,2026-07-24 16:12,TRANSFER,debit,50000,Ese N***u,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT988113648538,350000
TXN-004630,CUS-0375,9951549033,2026-07-24 16:16,TRANSFER,debit,50000,Chinedu A***u,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT456280341081,100000
TXN-000423,CUS-0035,9955689832,2026-07-24 16:58,ATM,debit,40000,ENTIN ATM,,ATM withdrawal,successful,yes,,yes,,,,ENT199545988884,2460000
TXN-003851,CUS-0312,9975337207,2026-07-24 16:59,WEB,debit,15000,Lekki Luxury Stores,,Online card payment,successful,yes,,,,,,ENT118404992824,135000
TXN-003147,CUS-0253,9919879915,2026-07-24 17:16,TRANSFER,debit,5000,Gerald I*e,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT371904032371,30000
TXN-003599,CUS-0291,9978065578,2026-07-24 17:25,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT385237435361,149500
TXN-005346,CUS-0433,9973633995,2026-07-24 17:32,TRANSFER,debit,100000,Godwin N***u,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT244201021304,800000
TXN-000297,CUS-0025,9948452630,2026-07-24 17:34,TRANSFER,debit,100000,Aminu A***u,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT552314072960,300000
TXN-004311,CUS-0350,9941377678,2026-07-24 17:34,TRANSFER,debit,100000,Godwin I***s,Placeholder Bank,Transfer,successful,yes,yes,,,,,ENT127970641002,800000
TXN-002833,CUS-0229,9993322503,2026-07-24 17:37,USSD,debit,1000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT721091718946,399000
TXN-001271,CUS-0105,9972234888,2026-07-24 17:39,WEB,debit,9900,Lekki Luxury Stores,,Online card payment,successful,yes,,,,,,ENT441270427434,475100
TXN-001782,CUS-0146,9915789794,2026-07-24 17:54,POS,debit,3500,QuickBuy Online (fictional),,POS purchase,successful,yes,,,,,,ENT675602595085,76500
TXN-005637,CUS-0456,9972514839,2026-07-24 18:38,WEB,debit,15000,QuickBuy Online (fictional),,Online card payment,successful,yes,,,,,,ENT689611412123,20000
TXN-001386,CUS-0114,9944317367,2026-07-24 19:09,POS,debit,1500,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT821627047359,78500
TXN-005465,CUS-0443,9932469947,2026-07-24 19:10,POS,debit,12500,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT343520074455,22500
TXN-004095,CUS-0333,9934134297,2026-07-24 19:39,TRANSFER,debit,10000,Yemisi L***l,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT294505272086,140000
TXN-002087,CUS-0170,9942564933,2026-07-24 19:47,ATM,debit,10000,ENTIN ATM,,ATM withdrawal,successful,yes,,yes,,,,ENT684967551651,390000
TXN-000092,CUS-0008,9971475136,2026-07-24 19:57,POS,debit,12500,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT705814724025,493700
TXN-003575,CUS-0289,9944712177,2026-07-24 19:57,TRANSFER,debit,50000,Wale N*******u,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT584665805065,850000
TXN-005630,CUS-0456,9972514839,2026-07-24 20:11,WEB,debit,15000,Lekki Luxury Stores,,Online card payment,successful,yes,,,,,,ENT866200946461,5000
TXN-003179,CUS-0256,9912443952,2026-07-24 20:19,TRANSFER,debit,20000,Obinna A*******i,Sample Savings Bank,Transfer,successful,yes,yes,,,,,ENT458754639926,880000
TXN-003554,CUS-0287,9969449775,2026-07-24 21:14,POS,debit,22000,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT496708421608,13000
TXN-001549,CUS-0127,9911211684,2026-07-24 21:22,USSD,debit,5000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT663777514767,30000
TXN-001836,CUS-0150,9986703642,2026-07-24 21:48,TRANSFER,debit,100000,Ogechi O******e,Placeholder Bank,Transfer,successful,yes,yes,,,,,ENT834635078412,434000
TXN-002285,CUS-0186,9978728285,2026-07-24 22:14,POS,debit,12500,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT720427576440,2477500
TXN-000526,CUS-0044,9933042845,2026-07-24 22:45,TRANSFER,debit,100000,Blessing E*e,Sample Savings Bank,Transfer,successful,yes,yes,,,,,ENT767106170803,800000
TXN-000854,CUS-0071,9903048877,2026-07-24 22:48,POS,debit,12500,Mama Put Kitchen,,POS purchase,successful,yes,,,,,,ENT701527271861,22500
TXN-002080,CUS-0170,9942564933,2026-07-24 23:10,WEB,debit,2500,QuickBuy Online (fictional),,Online card payment,successful,yes,,,,,,ENT593479835301,387500
TXN-005681,CUS-0460,9955245029,2026-07-24 23:11,TRANSFER,debit,35000,Chioma S****i,Sample Savings Bank,Transfer,successful,yes,yes,,,,,ENT238305380924,45000
TXN-004194,CUS-0341,9911918995,2026-07-24 23:19,TRANSFER,debit,35000,Tunde A*****a,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT364747101865,0
TXN-001521,CUS-0124,9949138114,2026-07-24 23:40,POS,debit,1500,Filling Station (fictional),,POS purchase,successful,yes,,,,,,ENT125745610129,148500
TXN-003678,CUS-0297,9929017205,2026-07-24 23:54,WEB,debit,2500,QuickBuy Online (fictional),,Online card payment,successful,yes,,,,,,ENT441042256511,897500
TXN-002432,CUS-0198,9908529541,2026-07-25 00:22,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT982602262618,79500
TXN-005148,CUS-0417,9965144969,2026-07-25 00:23,TRANSFER,debit,100000,Ikenna I*e,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT591876118146,800000
TXN-004106,CUS-0334,9962266421,2026-07-25 00:29,POS,debit,3500,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT356038306820,896500
TXN-005241,CUS-0425,9940818369,2026-07-25 00:35,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT798950534681,34500
TXN-002378,CUS-0194,9953387952,2026-07-25 00:47,TRANSFER,debit,100000,Funke D*****a,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT594885575359,300000
TXN-001111,CUS-0092,9995444615,2026-07-25 00:57,ATM,debit,10000,ENTIN ATM,,ATM withdrawal,successful,yes,,yes,,,,ENT567449886526,890000
TXN-003728,CUS-0302,9916038871,2026-07-25 01:16,TRANSFER,debit,100000,Gerald E**t,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT775135706539,277500
TXN-000532,CUS-0044,9933042845,2026-07-25 01:22,POS,debit,12500,Market Stall POS,,POS purchase,successful,yes,,,,,,ENT924323829765,787500
TXN-001869,CUS-0153,9979262701,2026-07-25 01:25,WEB,debit,4500,QuickBuy Online (fictional),,Online card payment,successful,yes,,,,,,ENT843099896818,145500
TXN-005838,CUS-0472,9933859016,2026-07-25 01:27,TRANSFER,debit,20000,Grace E*e,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT564936148649,880000
TXN-004458,CUS-0362,9925256262,2026-07-25 01:34,TRANSFER,debit,100000,Femi I*e,Placeholder Bank,Transfer,successful,yes,yes,,,,,ENT998029186262,480000
TXN-001504,CUS-0123,9961205593,2026-07-25 02:09,TRANSFER,debit,35000,Chioma O******i,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT898463572529,0
TXN-000433,CUS-0036,9926978043,2026-07-25 02:21,TRANSFER,debit,50000,Gerald I**e,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT109661843630,485000
TXN-000267,CUS-0022,9965384535,2026-07-25 02:33,POS,debit,1500,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT638893009172,376500
TXN-002713,CUS-0220,9986070448,2026-07-25 02:54,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT954403743337,399500
TXN-002122,CUS-0173,9937785973,2026-07-25 03:05,POS,debit,3500,Lekki Luxury Stores,,POS purchase,successful,yes,,,,,,ENT814838704886,896500
TXN-004550,CUS-0369,9982914423,2026-07-25 03:51,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT394696190905,377500
TXN-000066,CUS-0006,9988766344,2026-07-25 05:22,TRANSFER,debit,20000,Hadiza O****e,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT122649863660,880000
TXN-004308,CUS-0350,9941377678,2026-07-25 05:51,POS,debit,7800,Mama Put Kitchen,,POS purchase,successful,yes,,,,,,ENT732612726714,792200
TXN-001184,CUS-0098,9958025797,2026-07-25 06:12,USSD,debit,2000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT565067356313,398000
TXN-001199,CUS-0099,9936708878,2026-07-25 06:12,POS,debit,7800,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT116994520883,2492200
TXN-005778,CUS-0468,9916264223,2026-07-25 06:20,TRANSFER,debit,100000,Precious E****g,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT996412494625,800000
TXN-001234,CUS-0102,9912452877,2026-07-25 06:36,POS,debit,45000,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT251477674826,35000
TXN-001890,CUS-0155,9924565054,2026-07-25 06:37,POS,debit,12500,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT122054424544,22500
TXN-003514,CUS-0284,9966833571,2026-07-25 07:10,TRANSFER,debit,20000,Uche C****u,Placeholder Bank,Transfer,successful,yes,yes,,,,,ENT399597459653,880000
TXN-006073,CUS-0491,9971365877,2026-07-25 07:15,POS,debit,1500,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT613068661940,398500
TXN-005031,CUS-0408,9988225489,2026-07-25 07:24,ATM,debit,40000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT588644623390,360000
TXN-000367,CUS-0031,9984951838,2026-07-25 07:51,TRANSFER,debit,5000,Wale Y***f,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT759173457099,395000
TXN-005758,CUS-0466,9921435033,2026-07-25 08:31,POS,debit,12500,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT991893003265,22500
TXN-004949,CUS-0401,9916928668,2026-07-25 08:38,POS,debit,12500,Mama Put Kitchen,,POS purchase,successful,yes,,,,,,ENT133106311550,137500
TXN-004826,CUS-0391,9920137304,2026-07-25 08:52,WEB,debit,4500,Lekki Luxury Stores,,Online card payment,successful,yes,,,,,,ENT562423724606,30500
TXN-001677,CUS-0137,9965386482,2026-07-25 08:56,USSD,debit,5000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT701959568860,145000
TXN-002345,CUS-0191,9904355683,2026-07-25 09:02,POS,debit,7800,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT178135634275,142200
TXN-000029,CUS-0003,9944729405,2026-07-25 09:48,TRANSFER,debit,20000,Musa A*****o,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT383434540713,15000
TXN-005502,CUS-0446,9965552641,2026-07-25 10:09,USSD,debit,1000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT898674695766,34000
TXN-003003,CUS-0242,9902208747,2026-07-25 10:10,ATM,debit,40000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT762924001230,2460000
TXN-003919,CUS-0318,9973536623,2026-07-25 10:21,POS,debit,3500,Mama Put Kitchen,,POS purchase,successful,yes,,,,,,ENT636784437015,396500
TXN-000571,CUS-0047,9969585190,2026-07-25 10:42,POS,debit,12500,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT782618504649,137500
TXN-004611,CUS-0374,9931151207,2026-07-25 10:42,TRANSFER,debit,20000,Adebayo O******e,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT778832521318,60000
TXN-003226,CUS-0260,9952562853,2026-07-25 10:45,USSD,debit,2000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT859802078368,148000
TXN-002834,CUS-0229,9993322503,2026-07-25 11:13,POS,debit,1500,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT342671798417,397500
TXN-001249,CUS-0103,9949574415,2026-07-25 11:46,POS,debit,45000,QuickBuy Online (fictional),,POS purchase,successful,yes,,,,,,ENT923507735122,105000
TXN-000805,CUS-0067,9964668631,2026-07-25 12:11,WEB,debit,4500,Bolt-like Rides (fictional),,Online card payment,successful,yes,,,,,,ENT763327835183,30500
TXN-004556,CUS-0370,9934238589,2026-07-25 12:14,POS,debit,12500,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT478686696628,884000
TXN-004450,CUS-0361,9980291368,2026-07-25 12:20,TRANSFER,debit,20000,Ronke O***o,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT527528691531,130000
TXN-002982,CUS-0240,9926272745,2026-07-25 12:21,WEB,debit,9900,QuickBuy Online (fictional),,Online card payment,successful,yes,,,,,,ENT380059352177,390100
TXN-005007,CUS-0406,9986833881,2026-07-25 12:24,TRANSFER,debit,50000,Adebayo L***l,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT310201215410,30000
TXN-003193,CUS-0257,9903889054,2026-07-25 12:41,TRANSFER,debit,35000,Ronke O******e,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT506699181660,865000
TXN-004584,CUS-0372,9937583244,2026-07-25 12:49,POS,debit,1500,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT218047997113,898500
TXN-003468,CUS-0280,9952498676,2026-07-25 12:50,TRANSFER,debit,5000,Abubakar O******e,Sample Savings Bank,Transfer,successful,yes,yes,,,,,ENT605735782217,75000
TXN-003491,CUS-0282,9946306844,2026-07-25 12:56,POS,debit,1500,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT433168972687,898500
TXN-001172,CUS-0097,9961807567,2026-07-25 13:08,POS,debit,3500,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT174064650079,2496500
TXN-002272,CUS-0185,9962334551,2026-07-25 13:33,POS,debit,1500,Market Stall POS,,POS purchase,successful,yes,,,,,,ENT995171222903,33500
TXN-005231,CUS-0424,9968184455,2026-07-25 13:34,POS,debit,12500,Market Stall POS,,POS purchase,successful,yes,,,,,,ENT455554179613,67500
TXN-003318,CUS-0268,9995728062,2026-07-25 14:01,ATM,debit,20000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT711676840977,380000
TXN-000327,CUS-0027,9935795111,2026-07-25 14:13,POS,debit,45000,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT129285614251,855000
TXN-001931,CUS-0158,9916441320,2026-07-25 14:13,TRANSFER,debit,5000,Yusuf O******i,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT420891819673,895000
TXN-005279,CUS-0428,9988816041,2026-07-25 14:47,USSD,debit,2000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT727774797401,78000
TXN-003361,CUS-0271,9915845459,2026-07-25 14:51,POS,debit,45000,Mama Put Kitchen,,POS purchase,successful,yes,,,,,,ENT439502283324,355000
TXN-002058,CUS-0168,9989354914,2026-07-25 15:01,POS,debit,1500,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT226075365835,2498500
TXN-004822,CUS-0391,9920137304,2026-07-25 15:13,POS,debit,1500,QuickBuy Online (fictional),,POS purchase,successful,yes,,,,,,ENT212799407496,29000
TXN-004390,CUS-0356,9916389373,2026-07-25 16:02,POS,debit,7800,Bolt-like Rides (fictional),,POS purchase,successful,yes,,,,,,ENT942418375427,142200
TXN-004354,CUS-0354,9973080669,2026-07-25 16:21,USSD,debit,5000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT238905757464,145000
TXN-002113,CUS-0172,9933836620,2026-07-25 16:22,TRANSFER,debit,10000,Hauwa A*****e,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT266974101119,850000
TXN-004431,CUS-0360,9950802361,2026-07-25 17:04,TRANSFER,debit,20000,Halima E**m,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT400568402455,2480000
TXN-002816,CUS-0228,9954375149,2026-07-25 17:16,ATM,debit,20000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT376240961268,15000
TXN-005163,CUS-0418,9975201362,2026-07-25 18:23,TRANSFER,debit,35000,Ese O******i,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT162127201701,2465000
TXN-000449,CUS-0037,9980700159,2026-07-25 18:31,ATM,debit,40000,ENTIN ATM,,ATM withdrawal,successful,yes,,yes,,,,ENT530308326211,860000
TXN-006082,CUS-0492,9909587010,2026-07-25 18:32,USSD,debit,1000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT527556536595,899000
TXN-002955,CUS-0238,9937467651,2026-07-25 18:35,ATM,debit,20000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT579502383979,130000
TXN-005458,CUS-0442,9996044337,2026-07-25 19:07,TRANSFER,debit,50000,Godwin I***s,Placeholder Bank,Transfer,successful,yes,yes,,,,,ENT985446439746,2450000
TXN-003163,CUS-0255,9927357934,2026-07-25 19:15,WEB,debit,2500,QuickBuy Online (fictional),,Online card payment,successful,yes,,,,,,ENT527837802792,897500
TXN-005353,CUS-0434,9998934709,2026-07-25 19:21,WEB,debit,9900,StreamFlix (fictional),,Online card payment,successful,yes,,,,,,ENT214398486904,390100
TXN-005939,CUS-0481,9939475693,2026-07-25 19:51,POS,debit,3500,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT147107280158,31500
TXN-005211,CUS-0422,9981759426,2026-07-25 19:57,USSD,debit,500,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT168369460532,899500
TXN-005150,CUS-0417,9965144969,2026-07-25 20:13,TRANSFER,debit,50000,Yemisi O******e,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT191954560415,750000
TXN-000277,CUS-0023,9902145842,2026-07-25 20:51,POS,debit,7800,ShopRite-like Store (fictional),,POS purchase,successful,yes,,,,,,ENT388159649951,67200
TXN-003242,CUS-0261,9911168312,2026-07-25 20:52,TRANSFER,debit,10000,Daniel O******i,Quick Fictional Bank,Transfer,successful,yes,yes,,,,,ENT230266561758,890000
TXN-000943,CUS-0078,9938696953,2026-07-25 20:53,TRANSFER,debit,5000,Seun L***l,Fictional Trust Bank,Transfer,successful,yes,yes,,,,,ENT740499043449,2495000
TXN-002744,CUS-0222,9943397743,2026-07-25 20:59,POS,debit,12500,StreamFlix (fictional),,POS purchase,successful,yes,,,,,,ENT941563031068,67500
TXN-004136,CUS-0336,9952764504,2026-07-25 21:38,TRANSFER,debit,5000,Usman B****y,Sample Savings Bank,Transfer,successful,yes,yes,,,,,ENT970395253455,30000
TXN-000655,CUS-0054,9918621076,2026-07-25 22:13,ATM,debit,40000,Other bank ATM,,ATM withdrawal,successful,yes,,no,,,,ENT282766260290,360000
TXN-005329,CUS-0432,9901762982,2026-07-25 22:19,POS,debit,12500,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT724518850360,387500
TXN-005070,CUS-0411,9993781137,2026-07-25 23:01,POS,debit,1500,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT596061105308,78500
TXN-001840,CUS-0151,9923911317,2026-07-25 23:14,WEB,debit,2500,Lekki Luxury Stores,,Online card payment,successful,yes,,,,,,ENT215610223492,897500
TXN-003499,CUS-0282,9946306844,2026-07-25 23:40,USSD,debit,5000,Airtime (fictional network),,Airtime purchase,successful,yes,,,,,,ENT666869191788,893500
TXN-004637,CUS-0376,9965266631,2026-07-25 23:52,TRANSFER,debit,20000,Ngozi B****y,Demo Microfinance Bank,Transfer,successful,yes,yes,,,,,ENT759256575854,15000
TXN-003894,CUS-0315,9960596727,2026-07-26 00:07,POS,debit,3500,Pharmacy Plus (fictional),,POS purchase,successful,yes,,,,,,ENT102897301995,896500
