card_id,customer_id,account_number,scheme,card_last4,status,online_enabled,daily_limit_naira,blocked_at,block_reason,last_decline_reason,last_decline_at,last_decline_merchant
CRD-0023-1,CUS-0023,9902145842,Visa,3557,active,yes,500000,,,,,
CRD-0024-1,CUS-0024,9988281126,Mastercard,5085,active,yes,100000,,,,,
CRD-0025-1,CUS-0025,9948452630,Visa,7864,active,yes,200000,,,,,
CRD-0026-1,CUS-0026,9905154382,Verve,5345,active,yes,200000,,,,,
CRD-0027-1,CUS-0027,9935795111,Mastercard,3703,active,yes,100000,,,,,
CRD-0028-1,CUS-0028,9955696327,Verve,7066,active,yes,200000,,,,,
CRD-0029-1,CUS-0029,9914497660,Mastercard,5518,active,yes,100000,,,,,
CRD-0030-1,CUS-0030,9925996775,Visa,1979,active,yes,500000,,,,,
CRD-0031-1,CUS-0031,9984951838,Verve,2553,active,yes,200000,,,,,
CRD-0032-1,CUS-0032,9941968982,Mastercard,6873,active,yes,100000,,,,,
CRD-0033-1,CUS-0033,9940720754,Mastercard,4483,active,yes,500000,,,,,
CRD-0034-1,CUS-0034,9918847918,Mastercard,8650,active,yes,500000,,,,,
CRD-0034-2,CUS-0034,9957555218,Mastercard,1742,active,yes,500000,,,,,
CRD-0034-3,CUS-0034,9957555218,Verve,0473,active,yes,200000,,,,,
CRD-0035-1,CUS-0035,9955689832,Mastercard,2096,active,yes,200000,,,,,
CRD-0036-1,CUS-0036,9926978043,Visa,1507,active,yes,200000,,,,,
CRD-0037-1,CUS-0037,9980700159,Visa,4214,active,yes,200000,,,,,
CRD-0038-1,CUS-0038,9928667534,Visa,7893,active,yes,100000,,,,,
CRD-0039-1,CUS-0039,9960824456,Mastercard,5802,active,yes,200000,,,,,
CRD-0040-1,CUS-0040,9954177588,Mastercard,0609,active,yes,100000,,,,,
CRD-0041-1,CUS-0041,9902520161,Verve,0756,active,yes,500000,,,,,
CRD-0042-1,CUS-0042,9938560739,Visa,7803,active,yes,500000,,,,,
CRD-0043-1,CUS-0043,9985469059,Verve,9220,active,yes,200000,,,,,
CRD-0044-1,CUS-0044,9933042845,Verve,9213,active,yes,100000,,,,,
CRD-0045-1,CUS-0045,9921430490,Visa,8954,active,yes,100000,,,,,
CRD-0046-1,CUS-0046,9968179223,Visa,8467,active,yes,100000,,,,,
CRD-0047-1,CUS-0047,9969585190,Mastercard,4010,active,yes,200000,,,,,
CRD-0048-1,CUS-0048,9972987112,Mastercard,9621,active,yes,100000,,,,,
CRD-0049-1,CUS-0049,9996745219,Visa,4824,active,yes,500000,,,,,
CRD-0050-1,CUS-0050,9988645732,Visa,3201,active,yes,200000,,,,,
CRD-0051-1,CUS-0051,9985846388,Visa,5737,active,yes,200000,,,,,
CRD-0052-1,CUS-0052,9965013327,Mastercard,8405,active,yes,100000,,,,,
CRD-0053-1,CUS-0053,9916354011,Mastercard,6780,active,yes,100000,,,,,
CRD-0054-1,CUS-0054,9918621076,Mastercard,1005,active,yes,200000,,,,,
CRD-0055-1,CUS-0055,9915202994,Verve,3709,active,yes,200000,,,,,
CRD-0056-1,CUS-0056,9998286408,Mastercard,6773,active,yes,500000,,,,,
CRD-0057-1,CUS-0057,9939955156,Mastercard,6329,active,yes,500000,,,,,
CRD-0058-1,CUS-0058,9980156464,Verve,3379,active,yes,100000,,,,,
CRD-0059-1,CUS-0059,9990421631,Verve,9654,active,yes,500000,,,,,
CRD-0060-1,CUS-0060,9906424829,Mastercard,9406,active,yes,200000,,,,,
CRD-0061-1,CUS-0061,9923524013,Mastercard,1223,active,yes,100000,,,,,
CRD-0062-1,CUS-0062,9913785222,Verve,6395,active,yes,200000,,,,,
CRD-0063-1,CUS-0063,9948085347,Verve,4394,active,yes,200000,,,,,
CRD-0064-1,CUS-0064,9901461338,Verve,5216,active,yes,100000,,,,,
CRD-0065-1,CUS-0065,9977605538,Visa,5642,active,yes,200000,,,,,
CRD-0066-1,CUS-0066,9915141363,Mastercard,0146,active,yes,100000,,,,,
CRD-0067-1,CUS-0067,9964668631,Verve,9960,active,yes,500000,,,,,
CRD-0068-1,CUS-0068,9934217233,Mastercard,1102,active,yes,200000,,,,,
CRD-0069-1,CUS-0069,9935953494,Visa,4485,active,yes,200000,,,,,
CRD-0070-1,CUS-0070,9980801000,Verve,0344,active,yes,200000,,,,,
CRD-0071-1,CUS-0071,9903048877,Mastercard,6550,active,yes,100000,,,,,
CRD-0072-1,CUS-0072,9904030042,Verve,7059,active,yes,200000,,,,,
CRD-0073-1,CUS-0073,9929770579,Visa,2777,active,yes,100000,,,,,
CRD-0074-1,CUS-0074,9981299914,Verve,6466,active,yes,200000,,,,,
CRD-0075-1,CUS-0075,9926436628,Visa,2848,active,yes,100000,,,,,
CRD-0076-1,CUS-0076,9970950601,Visa,9090,active,yes,200000,,,,,
CRD-0077-1,CUS-0077,9956378276,Verve,1564,active,yes,500000,,,,,
CRD-0078-1,CUS-0078,9938696953,Mastercard,6478,active,yes,200000,,,,,
CRD-0079-1,CUS-0079,9971711243,Mastercard,5550,active,yes,500000,,,,,
CRD-0080-1,CUS-0080,9903022502,Verve,6027,active,yes,500000,,,,,
CRD-0081-1,CUS-0081,9908238613,Mastercard,7954,active,yes,200000,,,,,
CRD-0082-1,CUS-0082,9942764129,Mastercard,5086,active,yes,200000,,,,,
CRD-0083-1,CUS-0083,9950496570,Mastercard,4340,active,yes,500000,,,,,
CRD-0084-1,CUS-0084,9996444694,Verve,7821,active,yes,200000,,,,,
CRD-0085-1,CUS-0085,9920987695,Mastercard,1448,active,yes,100000,,,,,
CRD-0086-1,CUS-0086,9907016929,Mastercard,8461,active,yes,100000,,,,,
CRD-0087-1,CUS-0087,9967779214,Mastercard,4906,active,yes,200000,,,,,
CRD-0088-1,CUS-0088,9912668692,Verve,3604,active,yes,500000,,,,,
CRD-0089-1,CUS-0089,9995292074,Mastercard,9323,active,yes,500000,,,,,
CRD-0090-1,CUS-0090,9945011459,Verve,9383,active,yes,200000,,,,,
CRD-0091-1,CUS-0091,9981013315,Verve,9080,active,yes,500000,,,,,
CRD-0092-1,CUS-0092,9995444615,Verve,9999,active,yes,100000,,,,,
CRD-0093-1,CUS-0093,9969795168,Mastercard,7561,active,yes,200000,,,,,
CRD-0094-1,CUS-0094,9962528456,Visa,3512,active,yes,200000,,,,,
CRD-0095-1,CUS-0095,9966981433,Mastercard,3633,active,yes,500000,,,,,
CRD-0096-1,CUS-0096,9991804418,Visa,4142,active,yes,100000,,,,,
CRD-0097-1,CUS-0097,9961807567,Visa,4576,active,yes,500000,,,,,
CRD-0098-1,CUS-0098,9958025797,Verve,8027,active,yes,500000,,,,,
CRD-0099-1,CUS-0099,9936708878,Verve,4281,active,yes,200000,,,,,
CRD-0100-1,CUS-0100,9919172290,Visa,4948,active,yes,200000,,,,,
CRD-0101-1,CUS-0101,9971745143,Mastercard,9421,active,yes,100000,,,,,
CRD-0102-1,CUS-0102,9912452877,Visa,2618,active,yes,200000,,,,,
CRD-0103-1,CUS-0103,9949574415,Verve,1280,active,yes,500000,,,,,
CRD-0104-1,CUS-0104,9910528659,Mastercard,1528,active,yes,500000,,,,,
CRD-0105-1,CUS-0105,9972234888,Verve,6553,active,yes,500000,,,,,
CRD-0106-1,CUS-0106,9959061922,Verve,9848,active,yes,500000,,,,,
CRD-0107-1,CUS-0107,9961387303,Visa,0117,active,yes,200000,,,,,
CRD-0108-1,CUS-0108,9976125398,Mastercard,7751,active,yes,200000,,,,,
CRD-0109-1,CUS-0109,9926445274,Visa,0183,active,yes,200000,,,,,
CRD-0110-1,CUS-0110,9951521657,Verve,8508,active,yes,100000,,,,,
CRD-0111-1,CUS-0111,9960169676,Visa,7423,active,yes,500000,,,,,
CRD-0112-1,CUS-0112,9942365966,Mastercard,3074,active,yes,100000,,,,,
CRD-0113-1,CUS-0113,9918118331,Mastercard,5089,active,yes,100000,,,,,
CRD-0114-1,CUS-0114,9944317367,Mastercard,2604,active,yes,200000,,,,,
CRD-0115-1,CUS-0115,9926627973,Mastercard,8946,active,yes,500000,,,,,
CRD-0116-1,CUS-0116,9962245900,Mastercard,8982,active,yes,100000,,,,,
CRD-0117-1,CUS-0117,9925219607,Mastercard,5144,active,yes,100000,,,,,
CRD-0118-1,CUS-0118,9975049979,Verve,6380,active,yes,500000,,,,,
CRD-0119-1,CUS-0119,9954928452,Verve,4210,active,yes,100000,,,,,
CRD-0120-1,CUS-0120,9939956816,Mastercard,8298,active,yes,100000,,,,,
CRD-0121-1,CUS-0121,9910108102,Visa,3363,active,yes,100000,,,,,
CRD-0122-1,CUS-0122,9920453316,Mastercard,5115,active,yes,100000,,,,,
CRD-0123-1,CUS-0123,9961205593,Mastercard,0348,active,yes,200000,,,,,
CRD-0124-1,CUS-0124,9949138114,Visa,2835,active,yes,100000,,,,,
CRD-0125-1,CUS-0125,9939285100,Visa,3037,active,yes,200000,,,,,
CRD-0126-1,CUS-0126,9983579996,Verve,6729,active,yes,500000,,,,,
CRD-0127-1,CUS-0127,9911211684,Visa,4182,active,yes,500000,,,,,
CRD-0128-1,CUS-0128,9943949119,Mastercard,7844,active,yes,500000,,,,,
CRD-0129-1,CUS-0129,9901919652,Mastercard,6549,active,yes,500000,,,,,
CRD-0130-1,CUS-0130,9970533656,Verve,0979,active,yes,100000,,,,,
CRD-0131-1,CUS-0131,9915379101,Mastercard,2763,active,yes,100000,,,,,
CRD-0132-1,CUS-0132,9913900264,Visa,1897,active,yes,500000,,,,,
CRD-0133-1,CUS-0133,9965679951,Mastercard,3984,active,yes,100000,,,,,
CRD-0134-1,CUS-0134,9983034549,Mastercard,2013,active,yes,200000,,,,,
CRD-0135-1,CUS-0135,9907512280,Visa,1001,active,yes,100000,,,,,
CRD-0136-1,CUS-0136,9972130516,Mastercard,7547,active,yes,200000,,,,,
CRD-0137-1,CUS-0137,9965386482,Mastercard,8917,active,yes,500000,,,,,
CRD-0138-1,CUS-0138,9902372961,Mastercard,7960,active,yes,100000,,,,,
CRD-0139-1,CUS-0139,9928539598,Verve,2302,active,yes,200000,,,,,
CRD-0140-1,CUS-0140,9975216214,Mastercard,4195,active,yes,500000,,,,,
CRD-0141-1,CUS-0141,9922386162,Visa,6251,active,yes,200000,,,,,
CRD-0142-1,CUS-0142,9986367800,Verve,5765,active,yes,500000,,,,,
CRD-0143-1,CUS-0143,9964197110,Verve,0466,active,yes,500000,,,,,
CRD-0144-1,CUS-0144,9986071964,Verve,1772,active,yes,500000,,,,,
CRD-0145-1,CUS-0145,9912117405,Visa,2546,active,yes,100000,,,,,
CRD-0146-1,CUS-0146,9915789794,Mastercard,8490,active,yes,200000,,,,,
CRD-0147-1,CUS-0147,9900546598,Mastercard,6404,active,yes,100000,,,,,
CRD-0148-1,CUS-0148,9929634769,Verve,1896,active,yes,200000,,,,,
CRD-0149-1,CUS-0149,9932706983,Verve,3862,active,yes,500000,,,,,
CRD-0150-1,CUS-0150,9986703642,Mastercard,5164,active,yes,200000,,,,,
CRD-0151-1,CUS-0151,9923911317,Verve,5830,active,yes,200000,,,,,
CRD-0152-1,CUS-0152,9950934230,Verve,8683,active,yes,200000,,,,,
CRD-0153-1,CUS-0153,9979262701,Visa,4521,active,yes,200000,,,,,
CRD-0154-1,CUS-0154,9973621841,Mastercard,8445,active,yes,500000,,,,,
CRD-0155-1,CUS-0155,9924565054,Verve,5304,active,yes,100000,,,,,
CRD-0156-1,CUS-0156,9944565338,Visa,2642,active,yes,500000,,,,,
CRD-0157-1,CUS-0157,9984980730,Mastercard,4455,active,yes,200000,,,,,
CRD-0158-1,CUS-0158,9916441320,Verve,6361,active,yes,200000,,,,,
CRD-0159-1,CUS-0159,9941946065,Verve,1970,active,yes,200000,,,,,
CRD-0160-1,CUS-0160,9945997181,Verve,0170,active,yes,500000,,,,,
CRD-0161-1,CUS-0161,9950062013,Mastercard,1652,active,yes,100000,,,,,
CRD-0162-1,CUS-0162,9936876480,Visa,1233,active,yes,100000,,,,,
CRD-0163-1,CUS-0163,9985476677,Mastercard,8293,active,yes,500000,,,,,
CRD-0164-1,CUS-0164,9963544644,Verve,9477,active,yes,200000,,,,,
CRD-0165-1,CUS-0165,9957207101,Verve,8006,active,yes,100000,,,,,
CRD-0166-1,CUS-0166,9936354926,Mastercard,2798,active,yes,100000,,,,,
CRD-0167-1,CUS-0167,9922102298,Visa,8635,active,yes,500000,,,,,
CRD-0168-1,CUS-0168,9989354914,Mastercard,8257,active,yes,100000,,,,,
CRD-0169-1,CUS-0169,9984249158,Verve,9161,active,yes,100000,,,,,
CRD-0170-1,CUS-0170,9942564933,Mastercard,6811,active,yes,100000,,,,,
CRD-0171-1,CUS-0171,9983851534,Visa,6973,active,yes,200000,,,,,
CRD-0172-1,CUS-0172,9933836620,Verve,0561,active,yes,100000,,,,,
CRD-0173-1,CUS-0173,9937785973,Mastercard,1063,active,yes,100000,,,,,
CRD-0174-1,CUS-0174,9904061872,Mastercard,8832,active,yes,200000,,,,,
CRD-0175-1,CUS-0175,9903136249,Verve,7677,active,yes,200000,,,,,
CRD-0176-1,CUS-0176,9948340783,Mastercard,1552,active,yes,200000,,,,,
CRD-0177-1,CUS-0177,9940024094,Visa,8143,active,yes,200000,,,,,
CRD-0178-1,CUS-0178,9914176590,Visa,3522,active,yes,500000,,,,,
CRD-0179-1,CUS-0179,9929958470,Mastercard,4982,active,yes,100000,,,,,
CRD-0180-1,CUS-0180,9927751519,Mastercard,7720,active,yes,100000,,,,,
CRD-0181-1,CUS-0181,9983508472,Verve,3103,active,yes,500000,,,,,
CRD-0182-1,CUS-0182,9979765655,Verve,5799,active,yes,200000,,,,,
CRD-0183-1,CUS-0183,9902993351,Mastercard,4671,active,yes,200000,,,,,
CRD-0184-1,CUS-0184,9912799315,Verve,0657,active,yes,200000,,,,,
CRD-0185-1,CUS-0185,9962334551,Verve,0746,active,yes,100000,,,,,
CRD-0186-1,CUS-0186,9978728285,Visa,8038,active,yes,100000,,,,,
CRD-0187-1,CUS-0187,9956885470,Visa,0469,active,yes,200000,,,,,
CRD-0188-1,CUS-0188,9925691517,Mastercard,5325,active,yes,200000,,,,,
CRD-0189-1,CUS-0189,9908672820,Verve,7230,active,yes,200000,,,,,
CRD-0190-1,CUS-0190,9967378530,Mastercard,2331,active,yes,100000,,,,,
CRD-0191-1,CUS-0191,9904355683,Visa,0215,active,yes,100000,,,,,
CRD-0192-1,CUS-0192,9988642115,Visa,5133,active,yes,100000,,,,,
CRD-0193-1,CUS-0193,9961766752,Mastercard,6164,active,yes,100000,,,,,
CRD-0194-1,CUS-0194,9953387952,Mastercard,7277,active,yes,200000,,,,,
CRD-0195-1,CUS-0195,9911125736,Mastercard,4919,active,yes,100000,,,,,
CRD-0196-1,CUS-0196,9967074401,Visa,8121,active,yes,100000,,,,,
CRD-0197-1,CUS-0197,9999876763,Verve,6415,active,yes,200000,,,,,
CRD-0198-1,CUS-0198,9908529541,Verve,7438,active,yes,200000,,,,,
CRD-0199-1,CUS-0199,9916644726,Verve,5193,active,yes,500000,,,,,
CRD-0200-1,CUS-0200,9967769593,Verve,3421,active,yes,200000,,,,,
CRD-0201-1,CUS-0201,9915856052,Mastercard,0704,active,yes,200000,,,,,
CRD-0202-1,CUS-0202,9914950549,Verve,0442,active,yes,500000,,,,,
CRD-0203-1,CUS-0203,9911235217,Mastercard,6300,active,yes,500000,,,,,
CRD-0204-1,CUS-0204,9937567822,Mastercard,0503,active,yes,200000,,,,,
CRD-0205-1,CUS-0205,9904236164,Visa,1337,active,yes,200000,,,,,
CRD-0206-1,CUS-0206,9960946297,Mastercard,3568,active,yes,500000,,,,,
CRD-0207-1,CUS-0207,9954079211,Visa,1144,active,yes,500000,,,,,
CRD-0208-1,CUS-0208,9908562995,Verve,5185,active,yes,200000,,,,,
CRD-0209-1,CUS-0209,9986925245,Mastercard,8176,active,yes,200000,,,,,
CRD-0210-1,CUS-0210,9911316159,Verve,6786,active,yes,500000,,,,,
CRD-0211-1,CUS-0211,9909502592,Mastercard,4426,active,yes,100000,,,,,
CRD-0212-1,CUS-0212,9951055574,Visa,3462,active,yes,100000,,,,,
CRD-0213-1,CUS-0213,9943848714,Verve,9742,active,yes,200000,,,,,
CRD-0214-1,CUS-0214,9980024371,Mastercard,1282,active,yes,500000,,,,,
CRD-0215-1,CUS-0215,9948992789,Verve,2173,active,yes,100000,,,,,
CRD-0216-1,CUS-0216,9903471072,Visa,1526,active,yes,100000,,,,,
CRD-0217-1,CUS-0217,9923754061,Visa,1580,active,yes,500000,,,,,
CRD-0218-1,CUS-0218,9910818187,Mastercard,6920,active,yes,500000,,,,,
CRD-0219-1,CUS-0219,9930963627,Verve,9281,active,yes,100000,,,,,
CRD-0220-1,CUS-0220,9986070448,Visa,9927,active,yes,500000,,,,,
CRD-0221-1,CUS-0221,9995401710,Verve,9562,active,yes,200000,,,,,
CRD-0222-1,CUS-0222,9943397743,Verve,4981,active,yes,200000,,,,,
CRD-0223-1,CUS-0223,9973866346,Visa,2304,active,yes,100000,,,,,
CRD-0224-1,CUS-0224,9958085404,Verve,8613,active,yes,200000,,,,,
CRD-0225-1,CUS-0225,9910257598,Visa,5268,active,yes,500000,,,,,
CRD-0226-1,CUS-0226,9909301930,Verve,3557,active,yes,200000,,,,,
CRD-0227-1,CUS-0227,9986617876,Verve,4167,active,yes,500000,,,,,
CRD-0228-1,CUS-0228,9954375149,Verve,2021,active,yes,100000,,,,,
CRD-0229-1,CUS-0229,9993322503,Visa,7613,active,yes,100000,,,,,
CRD-0230-1,CUS-0230,9946252003,Visa,0642,active,yes,100000,,,,,
CRD-0231-1,CUS-0231,9987407604,Visa,7707,active,yes,500000,,,,,
CRD-0232-1,CUS-0232,9902084385,Mastercard,1736,active,yes,500000,,,,,
CRD-0233-1,CUS-0233,9907462096,Mastercard,4516,active,yes,100000,,,,,
CRD-0234-1,CUS-0234,9902167309,Mastercard,7853,active,yes,200000,,,,,
CRD-0235-1,CUS-0235,9953911045,Verve,8007,active,yes,500000,,,,,
CRD-0236-1,CUS-0236,9941663809,Verve,5207,active,yes,100000,,,,,
CRD-0237-1,CUS-0237,9969336506,Verve,7293,active,yes,200000,,,,,
CRD-0238-1,CUS-0238,9937467651,Visa,3393,active,yes,200000,,,,,
CRD-0239-1,CUS-0239,9963646907,Mastercard,1911,active,yes,500000,,,,,
CRD-0240-1,CUS-0240,9926272745,Verve,3282,active,yes,500000,,,,,
CRD-0241-1,CUS-0241,9968320519,Mastercard,1833,active,yes,100000,,,,,
CRD-0242-1,CUS-0242,9902208747,Mastercard,9368,active,yes,100000,,,,,
CRD-0243-1,CUS-0243,9951135288,Verve,8780,active,yes,100000,,,,,
CRD-0244-1,CUS-0244,9931572552,Visa,5776,active,yes,500000,,,,,
CRD-0245-1,CUS-0245,9974242558,Mastercard,9888,active,yes,200000,,,,,
CRD-0246-1,CUS-0246,9985384634,Mastercard,2706,active,yes,200000,,,,,
CRD-0247-1,CUS-0247,9956338649,Mastercard,3972,active,yes,500000,,,,,
CRD-0248-1,CUS-0248,9955864605,Mastercard,4387,active,yes,100000,,,,,
CRD-0249-1,CUS-0249,9911871482,Verve,8382,active,yes,200000,,,,,
CRD-0250-1,CUS-0250,9922213933,Verve,2683,active,yes,500000,,,,,
CRD-0251-1,CUS-0251,9972251933,Verve,8499,active,yes,100000,,,,,
CRD-0252-1,CUS-0252,9937906660,Visa,6958,active,yes,200000,,,,,
CRD-0253-1,CUS-0253,9919879915,Visa,6418,active,yes,200000,,,,,
CRD-0254-1,CUS-0254,9910485144,Mastercard,8986,active,yes,500000,,,,,
CRD-0255-1,CUS-0255,9927357934,Visa,9962,active,yes,200000,,,,,
CRD-0256-1,CUS-0256,9912443952,Verve,6219,active,yes,500000,,,,,
CRD-0257-1,CUS-0257,9903889054,Verve,3802,active,yes,100000,,,,,
CRD-0258-1,CUS-0258,9911119929,Mastercard,9629,active,yes,100000,,,,,
CRD-0259-1,CUS-0259,9978482991,Verve,2069,active,yes,100000,,,,,
CRD-0260-1,CUS-0260,9952562853,Verve,7673,active,yes,500000,,,,,
CRD-0261-1,CUS-0261,9911168312,Visa,8419,active,yes,200000,,,,,
CRD-0262-1,CUS-0262,9969055121,Visa,4086,active,yes,200000,,,,,
CRD-0263-1,CUS-0263,9950345134,Visa,6217,active,yes,200000,,,,,
CRD-0264-1,CUS-0264,9910453125,Visa,6546,active,yes,500000,,,,,
CRD-0265-1,CUS-0265,9913982658,Verve,5755,active,yes,100000,,,,,
CRD-0266-1,CUS-0266,9911157896,Verve,1863,active,yes,500000,,,,,
CRD-0267-1,CUS-0267,9975140396,Verve,9917,active,yes,200000,,,,,
CRD-0268-1,CUS-0268,9995728062,Visa,9011,active,yes,500000,,,,,
CRD-0269-1,CUS-0269,9936756441,Verve,8746,active,yes,500000,,,,,
CRD-0270-1,CUS-0270,9932642118,Visa,7252,active,yes,200000,,,,,
CRD-0271-1,CUS-0271,9915845459,Mastercard,7262,active,yes,200000,,,,,
CRD-0272-1,CUS-0272,9940071152,Visa,0469,active,yes,500000,,,,,
CRD-0273-1,CUS-0273,9935986265,Verve,1055,active,yes,500000,,,,,
CRD-0274-1,CUS-0274,9955297955,Verve,6391,active,yes,100000,,,,,
CRD-0275-1,CUS-0275,9916289439,Mastercard,9770,active,yes,500000,,,,,
CRD-0276-1,CUS-0276,9997590170,Verve,3271,active,yes,500000,,,,,
CRD-0277-1,CUS-0277,9900602652,Visa,2683,active,yes,500000,,,,,
CRD-0278-1,CUS-0278,9932946850,Visa,4988,active,yes,100000,,,,,
CRD-0279-1,CUS-0279,9955326148,Mastercard,5717,active,yes,200000,,,,,
CRD-0280-1,CUS-0280,9952498676,Mastercard,9552,active,yes,200000,,,,,
CRD-0281-1,CUS-0281,9984118790,Mastercard,2717,active,yes,500000,,,,,
CRD-0282-1,CUS-0282,9946306844,Visa,2973,active,yes,200000,,,,,
CRD-0283-1,CUS-0283,9992725775,Visa,9588,active,yes,100000,,,,,
CRD-0284-1,CUS-0284,9966833571,Mastercard,6746,active,yes,500000,,,,,
CRD-0285-1,CUS-0285,9943032214,Verve,0669,active,yes,100000,,,,,
CRD-0286-1,CUS-0286,9930900140,Verve,9327,active,yes,200000,,,,,
CRD-0287-1,CUS-0287,9969449775,Mastercard,4250,active,yes,500000,,,,,
CRD-0288-1,CUS-0288,9972097656,Verve,1053,active,yes,200000,,,,,
CRD-0289-1,CUS-0289,9944712177,Verve,7103,active,yes,100000,,,,,
CRD-0290-1,CUS-0290,9927406438,Verve,7128,active,yes,500000,,,,,
CRD-0291-1,CUS-0291,9978065578,Mastercard,5701,active,yes,500000,,,,,
CRD-0292-1,CUS-0292,9969206472,Visa,1755,active,yes,200000,,,,,
CRD-0293-1,CUS-0293,9928185458,Mastercard,9629,active,yes,500000,,,,,
CRD-0294-1,CUS-0294,9981044386,Visa,4682,active,yes,100000,,,,,
CRD-0295-1,CUS-0295,9991259758,Visa,0914,active,yes,100000,,,,,
CRD-0296-1,CUS-0296,9904810740,Mastercard,0336,active,yes,500000,,,,,
CRD-0297-1,CUS-0297,9929017205,Verve,2801,active,yes,200000,,,,,
CRD-0298-1,CUS-0298,9994675331,Visa,3469,active,yes,100000,,,,,
CRD-0299-1,CUS-0299,9903987204,Visa,3635,active,yes,100000,,,,,
CRD-0300-1,CUS-0300,9986118151,Visa,4910,active,yes,200000,,,,,
CRD-0301-1,CUS-0301,9969065643,Mastercard,9912,active,yes,100000,,,,,
CRD-0302-1,CUS-0302,9916038871,Mastercard,0091,active,yes,500000,,,,,
CRD-0303-1,CUS-0303,9914192446,Mastercard,0184,active,yes,100000,,,,,
CRD-0304-1,CUS-0304,9919484159,Verve,6238,active,yes,200000,,,,,
CRD-0305-1,CUS-0305,9912573853,Mastercard,8538,active,yes,500000,,,,,
CRD-0306-1,CUS-0306,9912755790,Visa,1259,active,yes,200000,,,,,
CRD-0307-1,CUS-0307,9938909584,Visa,9304,active,yes,200000,,,,,
CRD-0308-1,CUS-0308,9937456111,Visa,2106,active,yes,200000,,,,,
CRD-0309-1,CUS-0309,9907735405,Verve,2291,active,yes,500000,,,,,
CRD-0310-1,CUS-0310,9928648156,Mastercard,1531,active,yes,500000,,,,,
CRD-0311-1,CUS-0311,9977866026,Verve,3440,active,yes,500000,,,,,
CRD-0312-1,CUS-0312,9975337207,Mastercard,4817,active,yes,200000,,,,,
CRD-0313-1,CUS-0313,9946277869,Visa,1051,active,yes,100000,,,,,
CRD-0314-1,CUS-0314,9990571386,Mastercard,7315,active,yes,100000,,,,,
CRD-0315-1,CUS-0315,9960596727,Mastercard,6217,active,yes,200000,,,,,
CRD-0316-1,CUS-0316,9928767202,Visa,5238,active,yes,500000,,,,,
CRD-0317-1,CUS-0317,9938331314,Visa,2705,active,yes,200000,,,,,
CRD-0318-1,CUS-0318,9973536623,Verve,8132,active,yes,200000,,,,,
CRD-0319-1,CUS-0319,9964510647,Verve,1316,active,yes,100000,,,,,
CRD-0320-1,CUS-0320,9939671395,Visa,8829,active,yes,200000,,,,,
CRD-0321-1,CUS-0321,9964528363,Verve,7112,active,yes,200000,,,,,
CRD-0322-1,CUS-0322,9949912955,Visa,0601,active,yes,100000,,,,,
CRD-0323-1,CUS-0323,9954538030,Mastercard,8677,active,yes,100000,,,,,
CRD-0324-1,CUS-0324,9957360445,Visa,8166,active,yes,200000,,,,,
CRD-0325-1,CUS-0325,9991958539,Mastercard,3853,active,yes,200000,,,,,
CRD-0326-1,CUS-0326,9996550219,Visa,3855,active,yes,100000,,,,,
CRD-0327-1,CUS-0327,9985785371,Mastercard,8769,active,yes,100000,,,,,
